"title","price","combustivel","cambio","km","modelo_base","descricao_modelo"
"JETTA 1.4 250 TSI TOTAL AUTOMÁTICO","135900","Gasolina","Automático","54467","JETTA","1.4 250 TSI TOTAL AUTOMÁTICO"
"COOPER 1.5 12V TWINPOWER GASOLINA AUTOMÁTICO","154000","Gasolina","Automático","77317","COOPER","1.5 12V TWINPOWER GASOLINA AUTOMÁTICO"
"CAPTIVA 3.6 SFI FWD V6 AUTOMÁTICO","36890","Gasolina","Automático","82269","CAPTIVA","3.6 SFI FWD V6 AUTOMÁTICO"
"RENEGADE 2.0 16V TURBO DIESEL AUTOMÁTICO","87900","Diesel","Automático","56847","RENEGADE","2.0 16V TURBO DIESEL AUTOMÁTICO"
"ARGO 1.0 FIREFLY FLEX MANUAL MANUAL","79890","Flex","Manual","62896","ARGO","1.0 FIREFLY FLEX MANUAL MANUAL"
"MAVERICK 2.0 ECOBOOST GASOLINA LARIAT AUTOMÁTICO","79890","Gasolina","Automático","79033","MAVERICK","2.0 ECOBOOST GASOLINA LARIAT AUTOMÁTICO"
"TRACKER 1.2 TURBO FLEX PREMIER AUTOMÁTICO","79890","Flex","Automático","78071","TRACKER","1.2 TURBO FLEX PREMIER AUTOMÁTICO"
"PALIO 1.5 MPI CITY WEEKEND MANUAL","17890","Gasolina","Manual","68922","PALIO","1.5 MPI CITY WEEKEND MANUAL"
"CITY 1.5 PERSONAL 16V FLEX AUTOMÁTICO","79890","Flex","Automático","13873","CITY","1.5 PERSONAL 16V FLEX AUTOMÁTICO"
"SANDERO 1.0 EXPRESSION 16V FLEX MANUAL","32890","Flex","Manual","19203","SANDERO","1.0 EXPRESSION 16V FLEX MANUAL"
"TCROSS 1.0 200 TSI TOTAL AUTOMÁTICO","94900","Gasolina","Automático","16982","TCROSS","1.0 200 TSI TOTAL AUTOMÁTICO"
"ARGO 1.8 E.TORQ FLEX HGT AUTOMÁTICO","82900","Flex","Automático","48126","ARGO","1.8 E.TORQ FLEX HGT AUTOMÁTICO"
"A3 2.0 TFSI SEDAN AMBITION AUTOMÁTICO","149900","Gasolina","Automático","56538","A3","2.0 TFSI SEDAN AMBITION AUTOMÁTICO"
"208 1.6 ALLURE 16V FLEX AUTOMÁTICO","79890","Flex","Automático","85795","208","1.6 ALLURE 16V FLEX AUTOMÁTICO"
"ONIX 1.0 TURBO FLEX PLUS AUTOMÁTICO","79890","Flex","Automático","79789","ONIX","1.0 TURBO FLEX PLUS AUTOMÁTICO"
"FRONTIER 2.3 16V TURBO DIESEL AUTOMÁTICO","79890","Diesel","Automático","67682","FRONTIER","2.3 16V TURBO DIESEL AUTOMÁTICO"
"ASX 2.0 4X4 AWD 16V AUTOMÁTICO","79890","Gasolina","Automático","88226","ASX","2.0 4X4 AWD 16V AUTOMÁTICO"
"SONG PRO 1.5 DMI HÍBRIDO AUTOMÁTICO","160890","Gasolina","Automático","51626","SONG","PRO 1.5 DMI HÍBRIDO AUTOMÁTICO"
"Q5 2.0 TFSI GASOLINA AMBIENTE AUTOMÁTICO","79890","Gasolina","Automático","87423","Q5","2.0 TFSI GASOLINA AMBIENTE AUTOMÁTICO"
"ONIX 1.0 MPFI LT 8V MANUAL","79890","Gasolina","Manual","35376","ONIX","1.0 MPFI LT 8V MANUAL"
"CRETA 1.6 16V FLEX ATTITUDE AUTOMÁTICO","84000","Flex","Automático","24781","CRETA","1.6 16V FLEX ATTITUDE AUTOMÁTICO"
"TRACKER 1.2 TURBO FLEX PREMIER AUTOMÁTICO","114900","Flex","Automático","66042","TRACKER","1.2 TURBO FLEX PREMIER AUTOMÁTICO"
"TCROSS 1.4 250 TSI TOTAL AUTOMÁTICO","79890","Gasolina","Automático","46571","TCROSS","1.4 250 TSI TOTAL AUTOMÁTICO"
"KWID 1.0 12V SCE FLEX MANUAL","79890","Flex","Manual","38749","KWID","1.0 12V SCE FLEX MANUAL"
"XC40 1.5 T5 RECHARGE INSCRIPTION AUTOMÁTICO","79890","Gasolina","Automático","73806","XC40","1.5 T5 RECHARGE INSCRIPTION AUTOMÁTICO"
"Q5 2.0 45 TFSI GASOLINA AUTOMÁTICO","270000","Gasolina","Automático","89576","Q5","2.0 45 TFSI GASOLINA AUTOMÁTICO"
"HB20 1.6 COMFORT PLUS 16V AUTOMÁTICO","79890","Gasolina","Automático","28885","HB20","1.6 COMFORT PLUS 16V AUTOMÁTICO"
"ECLIPSE CROSS 1.5 MIVEC TURBO AUTOMÁTICO","79890","Gasolina","Automático","31454","ECLIPSE","CROSS 1.5 MIVEC TURBO AUTOMÁTICO"
"SANDERO 1.6 16V SCE FLEX MANUAL","54900","Flex","Manual","58416","SANDERO","1.6 16V SCE FLEX MANUAL"
"CIVIC 1.8 LXS 16V GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","70507","CIVIC","1.8 LXS 16V GASOLINA AUTOMÁTICO"
"RENEGADE 2.0 16V TURBO DIESEL AUTOMÁTICO","79890","Diesel","Automático","28925","RENEGADE","2.0 16V TURBO DIESEL AUTOMÁTICO"
"ARGO 1.3 FIREFLY FLEX TREKKING MANUAL","64890","Flex","Manual","23863","ARGO","1.3 FIREFLY FLEX TREKKING MANUAL"
"ONIX 1.0 TURBO FLEX LTZ AUTOMÁTICO","81890","Flex","Automático","82867","ONIX","1.0 TURBO FLEX LTZ AUTOMÁTICO"
"KWID 1.0 12V SCE FLEX MANUAL","54890","Flex","Manual","21610","KWID","1.0 12V SCE FLEX MANUAL"
"TORO 2.0 16V TURBO DIESEL AUTOMÁTICO","79890","Diesel","Automático","51620","TORO","2.0 16V TURBO DIESEL AUTOMÁTICO"
"CRETA 1.6 16V FLEX ATTITUDE AUTOMÁTICO","79890","Flex","Automático","85459","CRETA","1.6 16V FLEX ATTITUDE AUTOMÁTICO"
"NIVUS 1.0 200 TSI TOTAL AUTOMÁTICO","79890","Gasolina","Automático","31496","NIVUS","1.0 200 TSI TOTAL AUTOMÁTICO"
